Message,Columns
ACC,"TimeUS, I, SampleUS, AccX, AccY, AccZ"
ADSB,"TimeUS, ICAO_address, Lat, Lng, Alt, Heading, Hor_vel, Ver_vel, Squark"
AHR2,"TimeUS, Roll, Pitch, Yaw, Alt, Lat, Lng, Q1, Q2, Q3, Q4"
AOA,"TimeUS, AOA, SSA"
ARM,"TimeUS, ArmState, ArmChecks, Forced, Method"
ARSP,"TimeUS, I, Airspeed, DiffPress, Temp, RawPress, Offset, U, H, Hp, TR, Pri"
ATSC,"TimeUS, AngPScX, AngPScY, AngPScZ"
ATT,"TimeUS, DesRoll, Roll, DesPitch, Pitch, DesYaw, Yaw, ErrRP, ErrYaw, AEKF"
BARO,"TimeUS, I, Alt, Press, Temp, CRt, SMS, Offset, GndTemp, Health"
BAT,"TimeUS, Instance, Volt, VoltR, Curr, CurrTot, EnrgTot, Temp, Res, RemPct"
BCL,"TimeUS, Instance, Volt, V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12"
BCN,"TimeUS, Health, Cnt, D0, D1, D2, D3, PosX, PosY, PosZ"
CAM,"TimeUS, GPSTime, GPSWeek, Lat, Lng, Alt, RelAlt, GPSAlt, Roll, Pitch, Yaw"
CMD,"TimeUS, CTot, CNum, CId, Prm1, Prm2, Prm3, Prm4, Lat, Lng, Alt, Frame"
CSRV,"TimeUS, Id, Pos, Force, Speed, Pow"
CTRL,"TimeUS, RMSRollP, RMSRollD, RMSPitchP, RMSPitchD, RMSYaw"
CTUN,"TimeUS, ThI, ABst, ThO, ThH, DAlt, Alt, BAlt, DSAlt, SAlt, TAlt, DCRt, CRt"
D16,"TimeUS, Id, Value"
D32,"TimeUS, Id, Value"
DFLT,"TimeUS, Id, Value"
DMS,"TimeUS, N, Dp, RT, RS, Fa, Fmn, Fmx, Pa, Pmn, Pmx, Sa, Smn, Smx"
DSF,"TimeUS, Dp, Blk, Bytes, FMn, FMx, FAv"
DSTL,"TimeUS, Stg, THdg, Lat, Lng, Alt, XT, Travel, L1I, Loiter, Des, P, I, D"
DU16,"TimeUS, Id, Value"
DU32,"TimeUS, Id, Value"
ERR,"TimeUS, Subsys, ECode"
ESC,"TimeUS, Instance, RPM, RawRPM, Volt, Curr, Temp, CTot, MotTemp, Err"
EV,"TimeUS, Id"
FILE,"FileName, Offset, Length, Data"
FMT,"Type, Length, Name, Format, Columns"
FMTU,"TimeUS, FmtType, UnitIds, MultIds"
FNCE,"TimeUS, Tot, Seq, Type, Lat, Lng, Count, Radius"
GPA,"TimeUS, I, VDop, HAcc, VAcc, SAcc, YAcc, VV, SMS, Delta, Und"
GPS,"TimeUS, I, Status, GMS, GWk, NSats, HDop, Lat, Lng, Alt, Spd, GCrs, VZ, Yaw, U"
GRAW,"TimeUS, WkMS, Week, numSV, sv, cpMes, prMes, doMes, mesQI, cno, lli"
GRXH,"TimeUS, rcvTime, week, leapS, numMeas, recStat"
GRXS,"TimeUS, prMes, cpMes, doMes, gnss, sv, freq, lock, cno, prD, cpD, doD, trk"
GUIA,"TimeUS, Type, Roll, Pitch, Yaw, RollRt, PitchRt, YawRt, Thrust, ClimbRt"
GUIP,"TimeUS, Type, pX, pY, pZ, Terrain, vX, vY, vZ, aX, aY, aZ"
GYR,"TimeUS, I, SampleUS, GyrX, GyrY, GyrZ"
IMU,"TimeUS, I, GyrX, GyrY, GyrZ, AccX, AccY, AccZ, EG, EA, T, GH, AH, GHz, AHz"
ISBD,"TimeUS, N, seqno, x, y, z"
ISBH,"TimeUS, N, type, instance, mul, smp_cnt, SampleUS, smp_rate"
MAG,"TimeUS, I, MagX, MagY, MagZ, OfsX, OfsY, OfsZ, MOX, MOY, MOZ, Health, S"
MAV,"TimeUS, chan, txp, rxp, rxdp, flags, ss, tf"
MAVC,"TimeUS, TS, TC, SS, SC, Fr, Cmd, P1, P2, P3, P4, X, Y, Z, Res, WL"
MODE,"TimeUS, Mode, ModeNum, Rsn"
MON,"TimeUS, Dly, Tsk, IErr, IErrCnt, IErrLn, MM, MC, SmLn, SPICnt, I2CCnt"
MOTB,"TimeUS, LiftMax, BatVolt, ThLimit, ThrAvMx, FailFlags"
MSG,"TimeUS, Message"
MULT,"TimeUS, Id, Mult"
NKY0,"TimeUS, C, YC, YCS, Y0, Y1, Y2, Y3, Y4, W0, W1, W2, W3, W4"
NKY1,"TimeUS, C, IVN0, IVN1, IVN2, IVN3, IVN4, IVE0, IVE1, IVE2, IVE3, IVE4"
OABR,"TimeUS, Type, Act, DYaw, Yaw, DP, RChg, Mar, DLt, DLg, DAlt, OLt, OLg, OAlt"
OADJ,"TimeUS, State, Err, CurrPoint, TotPoints, DLat, DLng, OALat, OALng"
OAVG,"TimeUS, version, point_num, Lat, Lon"
OF,"TimeUS, Qual, flowX, flowY, bodyX, bodyY"
ORGN,"TimeUS, Type, Lat, Lng, Alt"
PARM,"TimeUS, Name, Value, Default"
PIDA,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PIDE,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PIDN,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PIDP,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PIDR,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PIDS,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PIDY,"TimeUS, Tar, Act, Err, P, I, D, FF, Dmod, SRate, Limit"
PL,"TimeUS, Heal, TAcq, pX, pY, vX, vY, mX, mY, mZ, LastMeasMS, EKFOutl, Est"
PM,"TimeUS, LR, NLon, NL, MaxT, Mem, Load, ErrL, IntE, ErrC, SPIC, I2CC, I2CI, Ex"
POS,"TimeUS, Lat, Lng, Alt, RelHomeAlt, RelOriginAlt"
POWR,"TimeUS, Vcc, VServo, Flags, AccFlags, Safety, MTemp, MVolt, MVmin, MVmax"
PSCD,"TimeUS, TPD, PD, DVD, TVD, VD, DAD, TAD, AD"
PSCE,"TimeUS, TPE, PE, DVE, TVE, VE, DAE, TAE, AE"
PSCN,"TimeUS, TPN, PN, DVN, TVN, VN, DAN, TAN, AN"
PTUN,"TimeUS, Param, TunVal, TunMin, TunMax"
RAD,"TimeUS, RSSI, RemRSSI, TxBuf, Noise, RemNoise, RxErrors, Fixed"
RALY,"TimeUS, Tot, Seq, Lat, Lng, Alt"
RASH,"Primary, NumInst"
RASI,"pd, UpdateMS, H, Use, I"
RATE,"TimeUS, RDes, R, ROut, PDes, P, POut, YDes, Y, YOut, ADes, A, AOut"
RBCH,"PX, PY, PZ, AE, OLat, OLng, OAlt, Flags, NumInst"
RBCI,"LU, PX, PY, PZ, Dist, H, I"
RBOH,"Q, DPX, DPY, DPZ, DAX, DAY, DAZ, DT, TS, OX, OY, OZ, D"
RBRH,"Primary, NumInst"
RBRI,"LastUpdate, Alt, H, I"
RCI2,"TimeUS, C15, C16, OMask"
RCIN,"TimeUS, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14"
RCO2,"TimeUS, C15, C16, C17, C18"
RCO3,"TimeUS, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32"
RCOU,"TimeUS, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14"
REPH,"PX, PY, PZ, Q1, Q2, Q3, Q4, PEr, AEr, TS, RT, D"
REV2,Event
REV3,Event
REVH,"VX, VY, VZ, Er, TS, D"
REY3,"yawangle, yawangleerr, timestamp_ms, type"
RFND,"TimeUS, Instance, Dist, Stat, Orient"
RFRF,"FTypes, Slow"
RFRH,"TimeUS, TF"
RFRN,"HLat, HLon, HAlt, E2T, AM, TX, TY, TZ, VC, EKT, Flags"
RGPH,"NumInst, Primary"
RGPI,"OX, OY, OZ, Lg, Flags, Stat, NSats, I"
RGPJ,"TS, VX, VY, VZ, SA, Y, YA, YT, Lat, Lon, Alt, HA, VA, HD, I"
RISH,"LR, PG, PA, LD, AC, GC"
RISI,"DVX, DVY, DVZ, DAX, DAY, DAZ, DVDT, DADT, Flags, I"
